Index	NumberPSM	Gene	MaxPepProb	Protein	Protein ID	Entry Name	Protein Description	Organism	Indistinguishable Proteins	ReferenceIntensity	_126	_127N	_127C	_128N	_128C	_129N	_129C	_130N	_130C	_131N	_131C	_132N	_132C	_133N	_133C	_134N
P31939	1	ATIC	0.9999	sp|P31939|PUR9_HUMAN	P31939	PUR9_HUMAN	Bifunctional purine biosynthesis protein ATIC	Homo sapiens		21.508030845646935	20.382809483761207	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.65178743707303	NA	NA	NA	NA	NA
P31944	3	CASP14	0.9971	sp|P31944|CASPE_HUMAN	P31944	CASPE_HUMAN	Caspase-14	Homo sapiens		20.40142991515897	19.323291677246925	19.889957081075604	19.898054879721865	19.608447532838984	20.12298351409943	19.16932018662845	20.383535170030413	20.186193324702742	19.559936855936176	20.577539801933774	20.328496306124638	21.644231016090746	NA	23.575928508610893	20.227335941315655	20.6573065522864
P31946	2	YWHAB	1.0	sp|P31946|1433B_HUMAN	P31946	1433B_HUMAN	14-3-3 protein beta/alpha	Homo sapiens		20.044084328573987	20.61479483280285	20.143077710379007	19.832402131463112	18.66317123873683	17.592911156387835	20.010113908931608	19.85434377036053	20.312546711282796	19.087185658424016	18.522302451009207	21.53475642986643	18.887306807502053	NA	NA	20.085248273286396	19.779654763610164
P32119	7	PRDX2	0.9991	sp|P32119|PRDX2_HUMAN	P32119	PRDX2_HUMAN	Peroxiredoxin-2	Homo sapiens		25.07024247297238	25.45681619322763	25.18009806005339	24.984434183173654	24.935116710968657	24.403682125469096	24.972773537299993	25.418462699527833	25.275315242776195	24.933029496574253	25.429146362830167	25.316192040390177	25.516059465293733	NA	NA	24.962117061066323	25.348656808066142
P33151	8	CDH5	1.0	sp|P33151|CADH5_HUMAN	P33151	CADH5_HUMAN	Cadherin-5	Homo sapiens		26.008667657865388	25.566238245987908	26.672598361653005	25.564573488235556	26.493085220342763	26.589041117601074	25.84826185774917	26.47221771636001	26.45106172001917	26.72740684193556	26.349515716337283	25.13915015504669	26.52398448017655	26.557448523189226	NA	25.943077638916893	25.89453269117126
P33908	6	MAN1A1	1.0	sp|P33908|MA1A1_HUMAN	P33908	MA1A1_HUMAN	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	Homo sapiens		24.377281927985955	24.465261927012342	24.9039753099891	24.373573650092748	24.580305350277172	24.532175679535914	24.495450107715346	24.497809655290418	24.740176403210405	24.488035413976384	24.57690725407408	23.89248102557037	24.689111291980073	NA	NA	24.32777308668679	24.289551347801904
P34096	3	RNASE4	0.9993	sp|P34096|RNAS4_HUMAN	P34096	RNAS4_HUMAN	Ribonuclease 4	Homo sapiens		21.8618444071753	21.67992006800597	21.964738824668558	22.538723868599156	22.228747999107117	21.53692511967981	21.950337355923992	21.78248879421868	22.57997848769894	22.05059674558725	22.338318424283962	21.176448450966127	21.658022965318786	NA	NA	22.111854495145327	21.983066386503808
P34913	1	EPHX2	0.9989	sp|P34913|HYES_HUMAN	P34913	HYES_HUMAN	Bifunctional epoxide hydrolase 2	Homo sapiens		17.7194102130587	17.75616764407068	17.278253630321775	17.36481163762544	NA	NA	16.750340675716416	17.572512254550595	NA	NA	NA	18.51324139236499	18.556438402156	NA	NA	17.199397360495375	17.236370378798895
P34932	1	HSPA4	0.9986	sp|P34932|HSP74_HUMAN	P34932	HSP74_HUMAN	Heat shock 70 kDa protein 4	Homo sapiens		17.894241072034152	17.160720810371842	NA	16.93530986119911	NA	NA	17.04255675417695	18.438635884300098	17.645707189665835	17.520393131356332	NA	18.998489451211068	17.59959545962028	NA	NA	NA	NA
P35443	11	THBS4	1.0	sp|P35443|TSP4_HUMAN	P35443	TSP4_HUMAN	Thrombospondin-4	Homo sapiens		24.254025181159204	23.405775224484145	23.45429180557797	23.687167805437785	23.602943766071515	23.89289811274478	23.69640577565721	26.220885814968288	24.00097412320183	24.554517806960444	24.469501688499527	23.01355172604748	24.870969445995478	NA	24.87999364623036	24.096792649267048	24.147261188289896
P35527	29	KRT9	1.0	sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	Keratin, type I cytoskeletal 9	Homo sapiens		29.167301566993853	28.457345700610215	29.143907914438195	30.096816640671495	29.967221386668722	29.08875066651135	28.48956694138082	29.962618837775143	28.862250666620085	28.39339068047	28.146303674679174	29.740448977705903	29.019532359437957	29.396115615493315	28.130736257864417	29.172865979205977	29.300268395112603
P35542	7	SAA4	1.0	sp|P35542|SAA4_HUMAN	P35542	SAA4_HUMAN	Serum amyloid A-4 protein	Homo sapiens		25.081939239540574	24.812570551046882	25.73928668959433	24.677217744515076	25.492385874523055	25.165917960542785	25.19977394192447	25.26911163338098	25.131304448906764	25.62664298170643	25.119487032897116	25.558195144752492	24.90627876018976	25.93673427626488	NA	25.08385959544589	25.411029083440063
